# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_structure_texture_far.bag'
# timestamp tx ty tz qx qy qz qw
1341839114.3770 -1.3674 2.3119 1.1154 0.3210 0.7584 -0.5186 -0.2300
1341839114.3870 -1.3669 2.3115 1.1152 0.3206 0.7578 -0.5194 -0.2305
1341839114.3969 -1.3666 2.3113 1.1148 0.3204 0.7579 -0.5192 -0.2310
1341839114.4069 -1.3659 2.3112 1.1141 0.3214 0.7588 -0.5178 -0.2300
1341839114.4169 -1.3654 2.3110 1.1138 0.3205 0.7595 -0.5173 -0.2300
1341839114.4269 -1.3650 2.3107 1.1136 0.3211 0.7595 -0.5170 -0.2298
1341839114.4369 -1.3646 2.3101 1.1136 0.3232 0.7585 -0.5176 -0.2288
1341839114.4469 -1.3642 2.3097 1.1133 0.3239 0.7581 -0.5180 -0.2282
1341839114.4578 -1.3637 2.3098 1.1130 0.3234 0.7591 -0.5167 -0.2283
1341839114.4697 -1.3632 2.3095 1.1128 0.3235 0.7587 -0.5173 -0.2283
1341839114.4769 -1.3628 2.3092 1.1125 0.3236 0.7590 -0.5167 -0.2283
1341839114.4869 -1.3618 2.3087 1.1118 0.3255 0.7582 -0.5171 -0.2275
1341839114.4989 -1.3621 2.3087 1.1118 0.3228 0.7590 -0.5171 -0.2289
1341839114.5070 -1.3617 2.3085 1.1115 0.3221 0.7591 -0.5171 -0.2293
1341839114.5169 -1.3613 2.3082 1.1111 0.3216 0.7591 -0.5171 -0.2300
1341839114.5270 -1.3609 2.3081 1.1107 0.3208 0.7589 -0.5174 -0.2310
1341839114.5370 -1.3594 2.3075 1.1100 0.3234 0.7581 -0.5177 -0.2295
1341839114.5469 -1.3586 2.3072 1.1096 0.3233 0.7585 -0.5175 -0.2289
1341839114.5569 -1.3579 2.3072 1.1096 0.3229 0.7596 -0.5164 -0.2282
1341839114.5669 -1.3575 2.3070 1.1094 0.3230 0.7597 -0.5161 -0.2283
1341839114.5769 -1.3571 2.3069 1.1093 0.3233 0.7599 -0.5158 -0.2279
1341839114.5870 -1.3567 2.3067 1.1091 0.3239 0.7600 -0.5153 -0.2278
1341839114.5970 -1.3565 2.3063 1.1090 0.3257 0.7593 -0.5153 -0.2275
1341839114.6069 -1.3559 2.3062 1.1089 0.3263 0.7594 -0.5148 -0.2276
1341839114.6169 -1.3555 2.3061 1.1088 0.3267 0.7590 -0.5149 -0.2281
1341839114.6269 -1.3550 2.3061 1.1086 0.3268 0.7591 -0.5146 -0.2285
1341839114.6370 -1.3545 2.3060 1.1085 0.3266 0.7588 -0.5148 -0.2291
1341839114.6469 -1.3533 2.3059 1.1082 0.3265 0.7593 -0.5141 -0.2291
1341839114.6569 -1.3531 2.3058 1.1083 0.3259 0.7593 -0.5143 -0.2297
1341839114.6669 -1.3525 2.3057 1.1083 0.3254 0.7596 -0.5140 -0.2301
1341839114.6769 -1.3516 2.3055 1.1082 0.3249 0.7600 -0.5138 -0.2301
1341839114.6869 -1.3508 2.3053 1.1082 0.3245 0.7600 -0.5136 -0.2308
1341839114.6970 -1.3498 2.3053 1.1082 0.3243 0.7601 -0.5134 -0.2314
1341839114.7070 -1.3490 2.3052 1.1082 0.3243 0.7602 -0.5131 -0.2318
1341839114.7169 -1.3481 2.3051 1.1082 0.3244 0.7595 -0.5138 -0.2324
1341839114.7270 -1.3466 2.3052 1.1080 0.3250 0.7594 -0.5134 -0.2326
1341839114.7370 -1.3462 2.3053 1.1083 0.3238 0.7598 -0.5130 -0.2339
1341839114.7469 -1.3452 2.3049 1.1081 0.3258 0.7589 -0.5135 -0.2331
1341839114.7569 -1.3439 2.3048 1.1080 0.3265 0.7590 -0.5130 -0.2328
1341839114.7669 -1.3425 2.3050 1.1081 0.3252 0.7605 -0.5117 -0.2326
1341839114.7769 -1.3408 2.3046 1.1077 0.3279 0.7599 -0.5112 -0.2318
1341839114.7870 -1.3400 2.3044 1.1079 0.3282 0.7595 -0.5113 -0.2324
1341839114.7969 -1.3388 2.3043 1.1078 0.3284 0.7594 -0.5111 -0.2330
1341839114.8070 -1.3377 2.3046 1.1081 0.3267 0.7597 -0.5110 -0.2345
1341839114.8175 -1.3355 2.3040 1.1076 0.3287 0.7586 -0.5117 -0.2336
1341839114.8269 -1.3341 2.3038 1.1076 0.3286 0.7584 -0.5121 -0.2338
1341839114.8410 -1.3329 2.3039 1.1078 0.3273 0.7588 -0.5117 -0.2351
1341839114.8469 -1.3314 2.3037 1.1075 0.3271 0.7591 -0.5113 -0.2352
1341839114.8569 -1.3297 2.3036 1.1072 0.3270 0.7597 -0.5105 -0.2353
1341839114.8669 -1.3280 2.3030 1.1070 0.3290 0.7584 -0.5113 -0.2348
1341839114.8769 -1.3259 2.3030 1.1070 0.3291 0.7589 -0.5105 -0.2350
1341839114.8873 -1.3244 2.3029 1.1069 0.3289 0.7591 -0.5099 -0.2356
1341839114.8969 -1.3227 2.3024 1.1065 0.3300 0.7580 -0.5109 -0.2356
1341839114.9071 -1.3207 2.3025 1.1064 0.3298 0.7584 -0.5102 -0.2361
1341839114.9170 -1.3189 2.3023 1.1063 0.3297 0.7580 -0.5106 -0.2368
1341839114.9269 -1.3175 2.3021 1.1065 0.3283 0.7575 -0.5118 -0.2378
1341839114.9369 -1.3145 2.3017 1.1058 0.3310 0.7566 -0.5118 -0.2368
1341839114.9469 -1.3129 2.3018 1.1060 0.3303 0.7569 -0.5113 -0.2378
1341839114.9569 -1.3110 2.3014 1.1058 0.3316 0.7564 -0.5117 -0.2367
1341839114.9694 -1.3089 2.3012 1.1054 0.3321 0.7567 -0.5114 -0.2359
1341839114.9769 -1.3071 2.3013 1.1054 0.3311 0.7577 -0.5103 -0.2364
1341839114.9881 -1.3053 2.3011 1.1052 0.3309 0.7576 -0.5106 -0.2365
1341839115.0010 -1.3029 2.3006 1.1048 0.3329 0.7569 -0.5108 -0.2352
1341839115.0070 -1.3009 2.3007 1.1044 0.3332 0.7572 -0.5099 -0.2359
1341839115.0170 -1.2997 2.3009 1.1044 0.3325 0.7573 -0.5093 -0.2378
1341839115.0270 -1.2980 2.3008 1.1044 0.3333 0.7566 -0.5092 -0.2390
1341839115.0369 -1.2964 2.3008 1.1043 0.3340 0.7563 -0.5092 -0.2394
1341839115.0469 -1.2936 2.3006 1.1041 0.3378 0.7550 -0.5085 -0.2391
1341839115.0595 -1.2925 2.3007 1.1041 0.3370 0.7548 -0.5093 -0.2395
1341839115.0691 -1.2900 2.3003 1.1038 0.3395 0.7538 -0.5094 -0.2388
1341839115.0769 -1.2878 2.3001 1.1036 0.3400 0.7536 -0.5098 -0.2379
1341839115.0869 -1.2860 2.3001 1.1034 0.3393 0.7541 -0.5098 -0.2375
1341839115.0970 -1.2846 2.3000 1.1033 0.3375 0.7546 -0.5100 -0.2379
1341839115.1073 -1.2823 2.2997 1.1028 0.3392 0.7545 -0.5092 -0.2374
1341839115.1169 -1.2800 2.2995 1.1026 0.3384 0.7546 -0.5093 -0.2381
1341839115.1270 -1.2785 2.2994 1.1025 0.3366 0.7550 -0.5095 -0.2392
1341839115.1369 -1.2761 2.2990 1.1018 0.3383 0.7538 -0.5098 -0.2396
1341839115.1469 -1.2740 2.2989 1.1019 0.3381 0.7545 -0.5088 -0.2399
1341839115.1586 -1.2726 2.2987 1.1017 0.3377 0.7539 -0.5093 -0.2412
1341839115.1669 -1.2713 2.2985 1.1017 0.3368 0.7537 -0.5098 -0.2420
1341839115.1769 -1.2686 2.2982 1.1011 0.3396 0.7527 -0.5099 -0.2411
1341839115.1869 -1.2665 2.2980 1.1008 0.3403 0.7530 -0.5095 -0.2400
1341839115.1981 -1.2651 2.2978 1.1006 0.3395 0.7530 -0.5101 -0.2401
1341839115.2075 -1.2634 2.2976 1.1005 0.3397 0.7535 -0.5094 -0.2393
1341839115.2169 -1.2606 2.2973 1.0998 0.3423 0.7546 -0.5068 -0.2377
1341839115.2273 -1.2590 2.2971 1.0995 0.3417 0.7553 -0.5061 -0.2379
1341839115.2369 -1.2577 2.2968 1.0992 0.3399 0.7547 -0.5079 -0.2386
1341839115.2469 -1.2559 2.2965 1.0991 0.3394 0.7548 -0.5079 -0.2390
1341839115.2572 -1.2531 2.2966 1.0984 0.3412 0.7551 -0.5062 -0.2391
1341839115.2704 -1.2516 2.2964 1.0981 0.3397 0.7550 -0.5068 -0.2405
1341839115.2769 -1.2489 2.2960 1.0974 0.3419 0.7544 -0.5064 -0.2399
1341839115.2884 -1.2470 2.2961 1.0972 0.3397 0.7544 -0.5073 -0.2410
1341839115.2987 -1.2449 2.2955 1.0969 0.3404 0.7541 -0.5077 -0.2403
1341839115.3073 -1.2432 2.2952 1.0967 0.3399 0.7551 -0.5069 -0.2394
1341839115.3169 -1.2417 2.2949 1.0968 0.3387 0.7566 -0.5060 -0.2382
1341839115.3269 -1.2401 2.2946 1.0964 0.3381 0.7576 -0.5049 -0.2384
1341839115.3369 -1.2376 2.2942 1.0961 0.3404 0.7580 -0.5030 -0.2378
1341839115.3469 -1.2360 2.2937 1.0959 0.3405 0.7584 -0.5026 -0.2373
1341839115.3569 -1.2349 2.2935 1.0958 0.3392 0.7579 -0.5037 -0.2386
1341839115.3677 -1.2322 2.2928 1.0953 0.3420 0.7569 -0.5035 -0.2381
1341839115.3768 -1.2306 2.2928 1.0952 0.3412 0.7575 -0.5027 -0.2390
1341839115.3869 -1.2291 2.2923 1.0952 0.3410 0.7570 -0.5032 -0.2395
1341839115.3969 -1.2280 2.2920 1.0951 0.3396 0.7573 -0.5036 -0.2401
1341839115.4075 -1.2259 2.2912 1.0946 0.3428 0.7562 -0.5036 -0.2389
1341839115.4169 -1.2243 2.2912 1.0943 0.3424 0.7576 -0.5015 -0.2394
1341839115.4269 -1.2228 2.2908 1.0939 0.3421 0.7579 -0.5015 -0.2389
1341839115.4369 -1.2215 2.2901 1.0940 0.3420 0.7585 -0.5010 -0.2380
1341839115.4469 -1.2203 2.2894 1.0938 0.3421 0.7590 -0.5003 -0.2378
1341839115.4574 -1.2191 2.2888 1.0936 0.3418 0.7589 -0.5001 -0.2391
1341839115.4669 -1.2179 2.2882 1.0937 0.3422 0.7586 -0.4999 -0.2398
1341839115.4769 -1.2154 2.2876 1.0934 0.3454 0.7579 -0.4989 -0.2395
1341839115.4869 -1.2147 2.2870 1.0938 0.3446 0.7571 -0.5003 -0.2404
1341839115.4969 -1.2133 2.2865 1.0937 0.3448 0.7570 -0.5003 -0.2402
1341839115.5072 -1.2121 2.2859 1.0938 0.3454 0.7566 -0.5006 -0.2404
1341839115.5168 -1.2101 2.2849 1.0936 0.3479 0.7557 -0.5006 -0.2394
1341839115.5269 -1.2092 2.2844 1.0933 0.3463 0.7562 -0.5009 -0.2395
1341839115.5369 -1.2072 2.2834 1.0931 0.3481 0.7567 -0.4994 -0.2385
1341839115.5469 -1.2058 2.2830 1.0928 0.3471 0.7580 -0.4982 -0.2383
1341839115.5569 -1.2043 2.2823 1.0927 0.3471 0.7596 -0.4958 -0.2380
1341839115.5669 -1.2031 2.2815 1.0926 0.3461 0.7595 -0.4962 -0.2392
1341839115.5769 -1.2018 2.2807 1.0926 0.3462 0.7595 -0.4961 -0.2391
1341839115.5869 -1.1999 2.2799 1.0924 0.3476 0.7586 -0.4961 -0.2399
1341839115.5971 -1.1988 2.2792 1.0922 0.3473 0.7570 -0.4981 -0.2412
1341839115.6076 -1.1978 2.2784 1.0923 0.3470 0.7567 -0.4986 -0.2418
1341839115.6172 -1.1967 2.2776 1.0923 0.3473 0.7564 -0.4988 -0.2418
1341839115.6269 -1.1957 2.2770 1.0921 0.3476 0.7561 -0.4987 -0.2422
1341839115.6369 -1.1940 2.2758 1.0920 0.3510 0.7552 -0.4983 -0.2412
1341839115.6469 -1.1937 2.2750 1.0919 0.3497 0.7553 -0.4987 -0.2418
1341839115.6569 -1.1921 2.2738 1.0916 0.3526 0.7552 -0.4974 -0.2408
1341839115.6685 -1.1913 2.2727 1.0915 0.3521 0.7554 -0.4974 -0.2407
1341839115.6769 -1.1904 2.2715 1.0915 0.3528 0.7567 -0.4954 -0.2401
1341839115.6869 -1.1895 2.2704 1.0914 0.3531 0.7569 -0.4946 -0.2402
1341839115.6969 -1.1887 2.2693 1.0913 0.3528 0.7566 -0.4949 -0.2411
1341839115.7069 -1.1875 2.2683 1.0912 0.3525 0.7562 -0.4954 -0.2419
1341839115.7169 -1.1868 2.2672 1.0910 0.3515 0.7548 -0.4974 -0.2435
1341839115.7282 -1.1857 2.2661 1.0909 0.3512 0.7542 -0.4981 -0.2443
1341839115.7369 -1.1839 2.2647 1.0907 0.3537 0.7533 -0.4978 -0.2441
1341839115.7470 -1.1833 2.2634 1.0906 0.3520 0.7532 -0.4992 -0.2441
1341839115.7570 -1.1822 2.2621 1.0904 0.3524 0.7536 -0.4984 -0.2439
1341839115.7670 -1.1806 2.2604 1.0900 0.3540 0.7538 -0.4973 -0.2432
1341839115.7784 -1.1799 2.2591 1.0896 0.3533 0.7545 -0.4968 -0.2433
1341839115.7869 -1.1790 2.2576 1.0893 0.3536 0.7548 -0.4960 -0.2434
1341839115.7969 -1.1781 2.2561 1.0886 0.3534 0.7540 -0.4970 -0.2440
1341839115.8069 -1.1770 2.2549 1.0884 0.3543 0.7546 -0.4953 -0.2446
1341839115.8169 -1.1757 2.2532 1.0881 0.3554 0.7539 -0.4954 -0.2449
1341839115.8286 -1.1745 2.2518 1.0881 0.3557 0.7530 -0.4963 -0.2451
1341839115.8370 -1.1734 2.2503 1.0878 0.3564 0.7524 -0.4967 -0.2454
1341839115.8469 -1.1715 2.2484 1.0875 0.3594 0.7515 -0.4961 -0.2448
1341839115.8569 -1.1707 2.2469 1.0871 0.3586 0.7499 -0.4986 -0.2458
1341839115.8670 -1.1688 2.2453 1.0867 0.3594 0.7500 -0.4980 -0.2458
1341839115.8769 -1.1672 2.2439 1.0862 0.3609 0.7507 -0.4960 -0.2453
1341839115.8869 -1.1657 2.2422 1.0861 0.3607 0.7515 -0.4950 -0.2451
1341839115.8969 -1.1636 2.2408 1.0853 0.3620 0.7509 -0.4950 -0.2450
1341839115.9069 -1.1618 2.2390 1.0853 0.3627 0.7501 -0.4954 -0.2455
1341839115.9169 -1.1604 2.2376 1.0853 0.3630 0.7496 -0.4957 -0.2462
1341839115.9269 -1.1584 2.2360 1.0859 0.3646 0.7502 -0.4934 -0.2464
1341839115.9370 -1.1563 2.2346 1.0859 0.3664 0.7490 -0.4937 -0.2469
1341839115.9471 -1.1540 2.2332 1.0858 0.3682 0.7483 -0.4936 -0.2467
1341839115.9569 -1.1523 2.2315 1.0860 0.3688 0.7465 -0.4957 -0.2471
1341839115.9671 -1.1509 2.2296 1.0858 0.3687 0.7459 -0.4966 -0.2473
1341839115.9769 -1.1488 2.2279 1.0862 0.3707 0.7442 -0.4972 -0.2480
1341839115.9869 -1.1470 2.2262 1.0864 0.3719 0.7438 -0.4969 -0.2481
1341839115.9969 -1.1450 2.2247 1.0864 0.3730 0.7440 -0.4959 -0.2479
1341839116.0069 -1.1426 2.2230 1.0865 0.3749 0.7440 -0.4948 -0.2471
1341839116.0170 -1.1407 2.2211 1.0865 0.3758 0.7438 -0.4945 -0.2469
1341839116.0269 -1.1386 2.2192 1.0863 0.3761 0.7455 -0.4920 -0.2466
1341839116.0370 -1.1365 2.2174 1.0865 0.3771 0.7445 -0.4926 -0.2465
1341839116.0469 -1.1344 2.2154 1.0873 0.3779 0.7445 -0.4918 -0.2471
1341839116.0573 -1.1328 2.2140 1.0877 0.3779 0.7437 -0.4925 -0.2481
1341839116.0669 -1.1311 2.2122 1.0878 0.3769 0.7412 -0.4960 -0.2501
1341839116.0769 -1.1293 2.2102 1.0881 0.3774 0.7404 -0.4967 -0.2505
1341839116.0869 -1.1274 2.2084 1.0884 0.3775 0.7401 -0.4966 -0.2514
1341839116.0969 -1.1257 2.2062 1.0889 0.3775 0.7395 -0.4971 -0.2519
1341839116.1070 -1.1234 2.2046 1.0890 0.3787 0.7397 -0.4960 -0.2518
1341839116.1169 -1.1217 2.2027 1.0892 0.3788 0.7398 -0.4955 -0.2522
1341839116.1269 -1.1198 2.2006 1.0894 0.3800 0.7394 -0.4954 -0.2520
1341839116.1369 -1.1178 2.1987 1.0899 0.3817 0.7412 -0.4920 -0.2506
1341839116.1469 -1.1161 2.1967 1.0903 0.3819 0.7414 -0.4916 -0.2505
1341839116.1572 -1.1147 2.1948 1.0904 0.3809 0.7394 -0.4951 -0.2512
1341839116.1670 -1.1130 2.1929 1.0908 0.3810 0.7386 -0.4956 -0.2521
1341839116.1770 -1.1112 2.1911 1.0910 0.3815 0.7381 -0.4957 -0.2528
1341839116.1869 -1.1095 2.1894 1.0912 0.3822 0.7376 -0.4954 -0.2538
1341839116.1976 -1.1076 2.1877 1.0912 0.3823 0.7370 -0.4957 -0.2549
1341839116.2070 -1.1054 2.1857 1.0913 0.3838 0.7368 -0.4950 -0.2547
1341839116.2169 -1.1036 2.1843 1.0916 0.3840 0.7362 -0.4949 -0.2561
1341839116.2269 -1.1014 2.1824 1.0917 0.3847 0.7361 -0.4944 -0.2563
1341839116.2369 -1.0996 2.1808 1.0919 0.3852 0.7360 -0.4942 -0.2563
1341839116.2469 -1.0975 2.1790 1.0921 0.3860 0.7350 -0.4949 -0.2565
1341839116.2569 -1.0955 2.1772 1.0922 0.3865 0.7347 -0.4951 -0.2563
1341839116.2678 -1.0934 2.1755 1.0922 0.3874 0.7344 -0.4952 -0.2558
1341839116.2770 -1.0913 2.1740 1.0922 0.3883 0.7342 -0.4945 -0.2561
1341839116.2869 -1.0892 2.1724 1.0920 0.3893 0.7341 -0.4936 -0.2569
1341839116.2969 -1.0871 2.1709 1.0918 0.3896 0.7339 -0.4932 -0.2576
1341839116.3070 -1.0849 2.1693 1.0913 0.3907 0.7349 -0.4911 -0.2570
1341839116.3169 -1.0828 2.1677 1.0911 0.3916 0.7343 -0.4912 -0.2573
1341839116.3269 -1.0807 2.1662 1.0910 0.3924 0.7341 -0.4904 -0.2581
1341839116.3383 -1.0792 2.1647 1.0912 0.3929 0.7321 -0.4921 -0.2600
1341839116.3471 -1.0772 2.1632 1.0909 0.3940 0.7313 -0.4922 -0.2604
1341839116.3569 -1.0753 2.1616 1.0908 0.3951 0.7305 -0.4925 -0.2600
1341839116.3669 -1.0731 2.1597 1.0905 0.3971 0.7308 -0.4915 -0.2583
1341839116.3779 -1.0715 2.1581 1.0907 0.3979 0.7294 -0.4928 -0.2586
1341839116.3869 -1.0697 2.1562 1.0906 0.3990 0.7289 -0.4929 -0.2579
1341839116.3971 -1.0680 2.1545 1.0905 0.3996 0.7290 -0.4924 -0.2577
1341839116.4069 -1.0661 2.1528 1.0903 0.4004 0.7284 -0.4925 -0.2581
1341839116.4169 -1.0642 2.1511 1.0901 0.4013 0.7278 -0.4926 -0.2581
1341839116.4269 -1.0623 2.1496 1.0900 0.4022 0.7274 -0.4924 -0.2584
1341839116.4372 -1.0605 2.1482 1.0899 0.4023 0.7268 -0.4927 -0.2590
1341839116.4470 -1.0586 2.1467 1.0899 0.4031 0.7260 -0.4932 -0.2592
1341839116.4569 -1.0567 2.1452 1.0898 0.4036 0.7257 -0.4933 -0.2591
1341839116.4670 -1.0548 2.1438 1.0897 0.4036 0.7256 -0.4937 -0.2588
1341839116.4770 -1.0528 2.1422 1.0896 0.4036 0.7254 -0.4940 -0.2585
1341839116.4869 -1.0512 2.1408 1.0895 0.4035 0.7252 -0.4943 -0.2587
1341839116.4969 -1.0493 2.1395 1.0894 0.4036 0.7256 -0.4936 -0.2586
1341839116.5070 -1.0478 2.1383 1.0893 0.4039 0.7252 -0.4938 -0.2591
1341839116.5169 -1.0464 2.1369 1.0894 0.4046 0.7246 -0.4938 -0.2596
1341839116.5285 -1.0448 2.1357 1.0893 0.4052 0.7245 -0.4936 -0.2595
1341839116.5369 -1.0431 2.1344 1.0894 0.4061 0.7243 -0.4933 -0.2590
1341839116.5470 -1.0413 2.1332 1.0895 0.4070 0.7246 -0.4926 -0.2582
1341839116.5569 -1.0398 2.1323 1.0897 0.4078 0.7248 -0.4918 -0.2579
1341839116.5669 -1.0381 2.1311 1.0899 0.4079 0.7250 -0.4915 -0.2577
1341839116.5769 -1.0366 2.1300 1.0899 0.4071 0.7250 -0.4919 -0.2583
1341839116.5869 -1.0349 2.1289 1.0899 0.4061 0.7250 -0.4925 -0.2588
1341839116.5969 -1.0334 2.1279 1.0900 0.4053 0.7251 -0.4925 -0.2596
1341839116.6077 -1.0319 2.1270 1.0903 0.4047 0.7252 -0.4924 -0.2604
1341839116.6169 -1.0303 2.1260 1.0906 0.4043 0.7257 -0.4917 -0.2611
1341839116.6269 -1.0290 2.1249 1.0909 0.4040 0.7250 -0.4923 -0.2624
1341839116.6370 -1.0274 2.1240 1.0912 0.4040 0.7252 -0.4918 -0.2626
1341839116.6469 -1.0262 2.1231 1.0915 0.4040 0.7250 -0.4920 -0.2630
1341839116.6569 -1.0249 2.1222 1.0917 0.4045 0.7253 -0.4912 -0.2626
1341839116.6673 -1.0236 2.1211 1.0919 0.4047 0.7254 -0.4913 -0.2620
1341839116.6769 -1.0222 2.1200 1.0922 0.4052 0.7255 -0.4910 -0.2615
1341839116.6869 -1.0209 2.1191 1.0926 0.4053 0.7262 -0.4902 -0.2609
1341839116.6969 -1.0196 2.1181 1.0928 0.4053 0.7267 -0.4897 -0.2605
1341839116.7086 -1.0183 2.1173 1.0930 0.4046 0.7273 -0.4891 -0.2610
1341839116.7170 -1.0170 2.1163 1.0929 0.4040 0.7283 -0.4879 -0.2614
1341839116.7269 -1.0158 2.1155 1.0931 0.4033 0.7286 -0.4874 -0.2625
1341839116.7369 -1.0147 2.1146 1.0933 0.4022 0.7285 -0.4876 -0.2640
1341839116.7480 -1.0137 2.1137 1.0936 0.4014 0.7287 -0.4873 -0.2654
1341839116.7569 -1.0125 2.1127 1.0939 0.4007 0.7288 -0.4874 -0.2661
1341839116.7669 -1.0113 2.1118 1.0942 0.4004 0.7291 -0.4870 -0.2663
1341839116.7769 -1.0102 2.1108 1.0945 0.4002 0.7293 -0.4870 -0.2660
